album_name,artist_name,track_name,track_preview,track_uri,genre,acousticness,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,album_image,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,MFCC14,MFCC15,MFCC16,MFCC17,MFCC18,MFCC19,MFCC20,Spectral Contrast Freq Band1,Spectral Contrast Freq Band2,Spectral Contrast Freq Band3,Spectral Contrast Freq Band4,Spectral Contrast Freq Band5,Spectral Contrast Freq Band6,Spectral Contrast Freq Band7,mp3 File
Octavarium,Dream Theater,Panic Attack,https://p.scdn.co/mp3-preview/7620caf9c43350041b94e574971d9027e22649ab?cid=5df696031fe04b50b2bd7b434a7be855,spotify:track:5axwj3ekvw85989jjO8Ov8,Metal,3.93e-05,0.494,0.96,1,-5.478,1,0.126,0.00519,0.113,0.127,125.969,493027,4,https://i.scdn.co/image/ab67616d00001e02f58c468c711f44450a87cb42,36.17858,66.56792,-13.432865,38.588417,-3.3164148,14.694877,-2.0479388,11.53043,0.5104655,5.8270493,0.8765462,8.562101,0.9107823,0.5830302,-3.396589,3.9011645,-5.69098,2.2180266,-2.6114097,0.8766287,18.03212028850017,13.032994971719312,16.879714008921205,16.073267361474556,15.80204752101261,15.731670080827021,37.27851474346833,actual_music\_PanicAttack_DreamTheater.mp3
Runnin' Wild,Airbourne,"Too Much, Too Young, Too Fast",https://p.scdn.co/mp3-preview/2c408751cae7ba5386470b899b177e0aa8488623?cid=5df696031fe04b50b2bd7b434a7be855,spotify:track:6fhpnwCBLVamyD7gkZhXjt,Metal,0.0014,0.592,0.813,9,-7.154,1,0.0465,0.000966,0.336,0.384,114.038,224773,4,https://i.scdn.co/image/ab67616d00001e02288b8595213e38d99b6f9d6c,3.470016,79.92747,-25.51983,22.052853,7.763844,7.016857,1.231881,11.352336,3.714143,4.869604,-0.72883195,6.811224,-2.2349818,2.50483,-5.2407036,1.512174,-4.2828417,2.4089441,-3.3388157,-1.8828186,19.587657003758736,13.887284478218405,16.22600575442621,17.19063796244104,17.29956777942911,17.972714112301322,34.28550558141206,actual_music\_TooMuchTooYoungTooFast_Airbourne.mp3
Satellite (U.S. Version; WEA Distribution),P.O.D.,Boom,https://p.scdn.co/mp3-preview/1fc7bb49bcc1e7befda7df9a5b5cae0050bee768?cid=5df696031fe04b50b2bd7b434a7be855,spotify:track:5DooySfCD1xCJ49gQm9rx7,Metal,0.00318,0.559,0.931,9,-5.863,1,0.0721,1.24e-05,0.0624,0.644,90.911,190760,4,https://i.scdn.co/image/ab67616d00001e0295741aa186187b05e0653245,22.216827,53.84307,8.016106,46.732533,7.704984,18.493406,-0.27183524,14.274022,0.5956201,6.5152426,-1.0941113,3.6235902,-6.129933,0.23490094,-4.1540265,5.3027024,-7.9575934,0.9366445,-2.9309068,2.4814613,19.137425952683298,13.403747536260097,15.86525404480653,15.153693196912373,15.098163138903185,15.69779272418063,37.12794379732502,actual_music\_Boom_POD.mp3
Scars,Soil,Halo,https://p.scdn.co/mp3-preview/4f9c247ad83475041797e97aeb55b78298be1932?cid=5df696031fe04b50b2bd7b434a7be855,spotify:track:0rlPOzWbNVui2ABuI5OFhL,Metal,2.64e-05,0.525,0.914,3,-4.183,1,0.0704,0.00127,0.0573,0.461,111.143,195307,4,https://i.scdn.co/image/ab67616d00001e025458430a8be76e89973d3150,30.372679,72.39106,-23.062452,34.919445,4.965043,12.937985,-0.5542318,12.613556,-3.266947,9.799632,-0.94395745,6.9771266,-2.4379282,3.0179806,-4.1920753,5.547967,-6.726802,-0.56206065,-3.0932899,5.140268,21.38866830697973,12.68001693100322,15.266749195094354,15.315351892701141,14.893861973649498,17.720789405173964,37.46765281574059,actual_music\_Halo_Soil.mp3
Three Days Grace,Three Days Grace,I Hate Everything About You,https://p.scdn.co/mp3-preview/8893669447625edf76339cdd67a338dad034a7ea?cid=5df696031fe04b50b2bd7b434a7be855,spotify:track:0M955bMOoilikPXwKLYpoi,Metal,0.00461,0.498,0.83,6,-5.157,0,0.0421,0.0,0.139,0.453,89.342,231480,4,https://i.scdn.co/image/ab67616d00001e0277922eaa071fb388270f203f,2.3129973,96.35819,-9.764003,36.239143,2.8649337,9.74196,2.3502057,4.7101536,4.23653,2.84688,0.61440265,7.2654986,-3.8369684,2.9150088,-4.25284,6.2526846,-3.679054,-0.018088326,-4.3861933,1.0097636,21.55203761691389,14.38540338747268,18.340709824386888,18.059277847991822,17.25614999919038,18.231030545024566,34.72444275556889,actual_music\_IHateEverythingAboutYou_ThreeDaysGrace.mp3
Shadow Zone,Static-X,The Only,https://p.scdn.co/mp3-preview/fad16102e1b0bc90b0eca1859dffa9c4e6ab7d54?cid=5df696031fe04b50b2bd7b434a7be855,spotify:track:35ZmCVnfYRdK1iLGCxNhMa,Metal,7.04e-05,0.428,0.979,1,-2.929,1,0.225,0.0,0.129,0.292,104.84,171107,4,https://i.scdn.co/image/ab67616d00001e0251e68094dd2b709d70f1778f,34.132076,68.67608,-21.136135,41.085697,7.490721,13.93581,1.5988382,9.531288,-1.1127449,5.5654163,-3.39105,8.841417,-4.0838246,1.9436456,-6.98987,1.8680953,-8.545736,0.23711258,-2.1651413,0.31486744,19.496243211450047,13.563476944621346,15.55563841894642,15.68313078857332,15.782900821833667,17.999768327238527,37.3237112877581,actual_music\_TheOnly_StaticX.mp3
Digimortal,Fear Factory,Linchpin,https://p.scdn.co/mp3-preview/bd13d11ef7f40969e27f8e974060aec9a9231cb0?cid=5df696031fe04b50b2bd7b434a7be855,spotify:track:4qjvr0qMFUo26SxwC4VygS,Metal,0.00358,0.693,0.871,0,-3.389,1,0.0844,2.01e-05,0.11,0.533,111.989,204853,4,https://i.scdn.co/image/ab67616d00001e0234ef33bfdc17f96d0c21dc7c,19.524883,57.539547,-8.713783,46.011337,3.47162,21.009275,7.0779366,9.451363,-1.4232262,5.740424,0.7181976,7.074529,-5.2678337,1.8592801,-7.5894823,0.58623284,-6.6646047,-2.1364627,1.8581184,4.9248843,20.1138379921821,14.30183794773711,17.827548957614333,17.966836249222343,16.5039798620509,17.138334352863314,36.81265502430048,actual_music\_Linchpin_FearFactory.mp3
One-X,Three Days Grace,Riot,https://p.scdn.co/mp3-preview/f9aa2d8edbef04dbab10930dd0083e27c7d9be37?cid=5df696031fe04b50b2bd7b434a7be855,spotify:track:5eALoO9RRACvoxvLKF9zt4,Metal,0.0104,0.185,0.948,8,-3.892,1,0.147,0.0,0.105,0.316,196.578,207587,3,https://i.scdn.co/image/ab67616d00001e02fa4c18fdbd1bf1a39b7b794f,36.077892,74.4762,2.1006134,32.17528,0.3211393,11.328541,-4.249196,3.9075618,3.59257,4.4768896,-1.6989043,7.669157,-5.06153,1.9439113,-5.080075,7.328587,-4.2314463,6.2933044,-0.4783843,1.7424691,18.773073046054872,13.501693229380422,17.241766809134674,16.496128639938373,15.907551989555113,15.908989943684077,35.33231476691116,actual_music\_Riot_ThreeDaysGrace.mp3
Reinventing the Steel,Pantera,Revolution Is My Name,https://p.scdn.co/mp3-preview/3d03a8a31ea261fc546af58871062a7c075e432b?cid=5df696031fe04b50b2bd7b434a7be855,spotify:track:6LhUsJiXAuxoalUz01evh0,Metal,6.17e-05,0.243,0.988,8,-3.485,1,0.197,0.12,0.341,0.277,89.905,316493,4,https://i.scdn.co/image/ab67616d00001e0292f35233e7314a71e9f275a2,16.14526,56.596508,-13.442097,54.68509,1.8121625,6.328266,5.6636777,9.933896,-0.13965976,7.06525,-5.542879,7.857989,-3.4964814,-2.9398344,-6.771318,2.6680803,-6.7855644,3.9256334,-2.876438,3.1681614,20.441659710918408,12.92424314672761,15.756928699396596,15.043429118001079,16.04267573376354,19.095842629488082,38.0652263038358,actual_music\_RevolutionIsMyName_Pantera.mp3
War is the Answer,Five Finger Death Punch,Bad Company,https://p.scdn.co/mp3-preview/c5f003381fb9810398a39b8146632fd98f24b41a?cid=5df696031fe04b50b2bd7b434a7be855,spotify:track:1UWGkn34CD31VQfdi4D8Zp,Metal,0.000595,0.557,0.886,11,-4.196,0,0.0498,9.84e-05,0.0904,0.17,114.025,262440,4,https://i.scdn.co/image/ab67616d00001e02021dd6fc31a42ac4e4ab778c,41.84562,67.4414,-13.206269,37.21368,5.708142,18.3349,4.432152,16.54607,4.498077,8.253904,-2.6324112,4.880919,-3.6738455,0.9502641,-5.3195233,4.267569,-5.7768493,3.3390133,1.188755,3.99526,19.804313729757762,14.482622525552317,16.546990549628124,17.300128139833195,16.853059336744774,18.032840679345927,37.35539393494398,actual_music\_BadCompany_FiveFingerDeathPunch.mp3
